x,y
1430.000,844.000
1422.000,842.000
1398.000,840.000
1386.000,842.000
1376.000,852.000
1362.000,850.000
1340.000,854.000
1316.000,856.000
1296.000,862.000
1272.000,862.000
1520.000,548.000
1522.000,540.000
1528.000,538.000
1796.000,830.000
1112.000,868.000
1078.000,874.000
1044.000,868.000
1014.000,866.000
980.000,864.000
944.000,864.000
918.000,862.000
886.000,858.000
858.000,856.000
824.000,852.000
804.000,848.000
778.000,850.000
754.000,842.000
730.000,844.000
710.000,838.000
694.000,836.000
678.000,832.000
666.000,826.000
654.000,824.000
646.000,824.000
640.000,822.000
638.000,822.000
636.000,824.000
640.000,824.000
642.000,826.000
652.000,828.000
660.000,830.000
670.000,834.000
686.000,836.000
706.000,838.000
720.000,842.000
744.000,848.000
766.000,852.000
790.000,856.000
816.000,858.000
846.000,862.000
874.000,864.000
904.000,870.000
936.000,874.000
966.000,876.000
1000.000,878.000
1034.000,880.000
1068.000,878.000
1100.000,880.000
1132.000,880.000
1160.000,878.000
1192.000,876.000
1222.000,874.000
1250.000,874.000
1272.000,870.000
1300.000,868.000
1318.000,864.000
1340.000,862.000
1360.000,860.000
1368.000,850.000
1380.000,848.000
1394.000,852.000
1398.000,844.000
1398.000,844.000
1402.000,846.000
1404.000,844.000
1402.000,844.000
1398.000,852.000
1390.000,852.000
1378.000,854.000
1362.000,848.000
1348.000,854.000
1334.000,858.000
1314.000,860.000
1284.000,856.000
1264.000,860.000
1238.000,864.000
1212.000,866.000
1180.000,866.000
1152.000,866.000
1122.000,868.000
1092.000,866.000
1060.000,866.000
1030.000,866.000
1000.000,864.000
970.000,864.000
940.000,862.000
912.000,860.000
880.000,858.000
856.000,852.000
830.000,852.000
804.000,848.000
782.000,844.000
762.000,842.000
740.000,838.000
726.000,838.000
710.000,834.000
696.000,834.000
682.000,832.000
674.000,832.000
666.000,832.000
662.000,826.000
664.000,828.000
662.000,828.000
668.000,830.000
672.000,832.000
678.000,834.000
690.000,836.000
700.000,840.000
716.000,844.000
732.000,846.000
750.000,850.000
772.000,852.000
792.000,858.000
818.000,860.000
844.000,864.000
868.000,868.000
900.000,870.000
928.000,874.000
956.000,874.000
988.000,878.000
1014.000,876.000
1048.000,882.000
1074.000,878.000
1106.000,880.000
1136.000,878.000
1164.000,880.000
1190.000,876.000
1216.000,874.000
1240.000,868.000
1264.000,870.000
1288.000,868.000
1306.000,860.000
1326.000,864.000
1334.000,862.000
1344.000,854.000
1360.000,852.000
1370.000,850.000
1374.000,848.000
1376.000,848.000
1378.000,846.000
1378.000,844.000
1376.000,854.000
1364.000,848.000
1356.000,848.000
1344.000,850.000
1330.000,850.000
1314.000,852.000
1296.000,854.000
1276.000,856.000
1258.000,862.000
1236.000,862.000
1208.000,862.000
1186.000,864.000
1156.000,864.000
1130.000,864.000
1100.000,864.000
1072.000,866.000
1046.000,866.000
1016.000,864.000
990.000,864.000
960.000,862.000
934.000,862.000
906.000,860.000
880.000,858.000
856.000,854.000
832.000,852.000
808.000,850.000
790.000,848.000
766.000,846.000
752.000,842.000
736.000,840.000
722.000,838.000
712.000,836.000
698.000,838.000
694.000,836.000
688.000,834.000
686.000,836.000
684.000,838.000
686.000,836.000
690.000,838.000
694.000,840.000
706.000,842.000
714.000,844.000
728.000,846.000
740.000,850.000
758.000,852.000
776.000,854.000
798.000,856.000
820.000,862.000
842.000,866.000
866.000,866.000
892.000,868.000
920.000,874.000
946.000,874.000
972.000,876.000
1000.000,878.000
1028.000,878.000
1060.000,878.000
1088.000,878.000
1114.000,880.000
1138.000,878.000
1166.000,878.000
1188.000,874.000
1216.000,874.000
1240.000,872.000
1260.000,872.000
1280.000,870.000
1290.000,862.000
1304.000,862.000
1322.000,862.000
1334.000,854.000
1340.000,854.000
1350.000,850.000
1352.000,852.000
1354.000,850.000
1346.000,848.000
1350.000,848.000
1338.000,848.000
1338.000,850.000
1328.000,852.000
1314.000,852.000
1300.000,854.000
1290.000,860.000
1272.000,860.000
1250.000,856.000
1228.000,862.000
1208.000,864.000
1184.000,866.000
1158.000,864.000
1136.000,864.000
1106.000,866.000
1080.000,866.000
1054.000,864.000
1028.000,866.000
1002.000,866.000
976.000,864.000
950.000,862.000
926.000,862.000
900.000,860.000
878.000,858.000
852.000,856.000
832.000,852.000
814.000,850.000
794.000,848.000
776.000,846.000
762.000,846.000
748.000,842.000
734.000,842.000
724.000,838.000
714.000,838.000
712.000,840.000
708.000,842.000
706.000,842.000
704.000,842.000
708.000,842.000
712.000,844.000
720.000,844.000
730.000,846.000
742.000,848.000
752.000,850.000
766.000,854.000
784.000,858.000
802.000,860.000
822.000,862.000
842.000,866.000
864.000,868.000
888.000,870.000
912.000,872.000
936.000,872.000
962.000,876.000
988.000,876.000
1018.000,880.000
1046.000,880.000
1066.000,878.000
1096.000,878.000
